"","x"
"293",FALSE
"294",FALSE
"295",FALSE
"296",FALSE
"297",FALSE
"298",TRUE
"299",FALSE
"300",FALSE
"301",FALSE
"302",FALSE
"303",FALSE
"304",FALSE
"305",FALSE
"306",FALSE
"307",FALSE
"308",FALSE
"309",FALSE
"310",FALSE
"311",FALSE
"312",TRUE
"313",FALSE
"314",FALSE
"315",FALSE
"316",FALSE
"317",FALSE
"318",FALSE
"319",FALSE
"320",TRUE
"321",FALSE
"322",FALSE
"323",FALSE
"324",FALSE
"325",FALSE
"326",FALSE
"327",FALSE
"328",FALSE
"329",FALSE
"330",FALSE
"331",FALSE
"332",FALSE
"333",FALSE
"334",FALSE
"335",FALSE
"336",FALSE
"337",FALSE
"338",FALSE
"339",FALSE
"340",FALSE
"341",FALSE
"342",FALSE
"343",FALSE
"344",FALSE
"345",FALSE
"346",FALSE
"347",FALSE
"348",FALSE
"349",FALSE
"350",FALSE
"351",FALSE
"352",FALSE
"353",FALSE
"354",FALSE
"355",FALSE
"356",TRUE
"357",FALSE
"358",FALSE
"359",FALSE
"360",FALSE
"361",FALSE
"362",FALSE
"363",FALSE
"364",FALSE
"365",TRUE
"366",FALSE
"367",FALSE
"368",FALSE
"369",FALSE
"370",FALSE
"371",FALSE
"372",FALSE
"373",FALSE
"374",FALSE
"375",FALSE
"376",FALSE
"377",FALSE
"378",FALSE
"379",FALSE
"380",FALSE
"381",FALSE
"382",FALSE
"383",FALSE
"384",FALSE
"385",FALSE
"386",FALSE
"387",FALSE
"388",FALSE
"389",FALSE
"390",FALSE
"391",FALSE
"392",FALSE
"393",FALSE
"394",FALSE
"395",FALSE
"396",FALSE
"397",FALSE
"398",FALSE
"399",FALSE
"400",FALSE
"401",FALSE
"402",FALSE
"403",TRUE
"404",FALSE
"405",FALSE
"406",FALSE
"407",FALSE
"408",FALSE
"409",FALSE
"410",FALSE
"411",FALSE
"412",TRUE
"413",FALSE
"414",FALSE
"415",FALSE
"416",FALSE
"417",FALSE
"418",FALSE
"419",FALSE
"420",FALSE
"421",FALSE
"422",FALSE
"423",FALSE
"424",FALSE
"425",FALSE
"426",FALSE
"427",FALSE
"428",FALSE
"429",FALSE
"430",FALSE
"431",FALSE
"432",FALSE
"433",FALSE
"434",FALSE
"435",FALSE
"436",TRUE
"437",FALSE
"438",FALSE
"439",FALSE
"440",FALSE
"441",FALSE
"442",FALSE
"443",TRUE
"444",FALSE
"445",FALSE
"446",FALSE
"447",FALSE
"448",FALSE
"449",FALSE
"450",FALSE
"451",FALSE
"452",FALSE
"453",FALSE
"454",FALSE
"455",FALSE
"456",FALSE
"457",FALSE
"458",FALSE
"459",FALSE
"460",FALSE
"461",FALSE
"462",FALSE
"463",TRUE
"464",FALSE
"465",FALSE
"466",FALSE
"467",FALSE
"468",FALSE
"469",FALSE
"470",FALSE
"471",FALSE
"472",FALSE
"473",FALSE
"474",FALSE
"475",TRUE
"476",FALSE
"477",FALSE
"478",FALSE
"479",FALSE
"480",FALSE
"481",FALSE
"482",TRUE
"483",FALSE
"484",FALSE
"485",FALSE
"486",FALSE
"487",FALSE
"488",FALSE
"489",FALSE
"490",FALSE
"491",FALSE
"492",TRUE
"493",FALSE
"494",FALSE
"495",FALSE
"496",FALSE
"497",FALSE
"498",TRUE
"499",TRUE
"500",FALSE
"501",FALSE
"502",FALSE
"503",FALSE
"504",FALSE
"505",FALSE
"506",FALSE
"507",FALSE
"508",FALSE
"509",FALSE
"510",FALSE
"511",FALSE
"512",FALSE
"513",FALSE
"514",FALSE
"515",FALSE
"516",FALSE
"517",FALSE
"518",FALSE
"519",FALSE
"520",FALSE
"521",FALSE
"522",FALSE
"523",FALSE
"524",TRUE
"525",FALSE
"526",FALSE
"527",FALSE
"528",FALSE
"529",FALSE
"530",FALSE
"531",FALSE
"532",FALSE
"533",FALSE
"534",FALSE
"535",FALSE
"536",FALSE
"537",FALSE
"538",FALSE
"539",TRUE
"540",TRUE
"541",FALSE
"542",FALSE
"543",FALSE
"544",FALSE
"545",FALSE
"546",FALSE
"547",FALSE
"548",TRUE
"549",FALSE
"550",TRUE
"551",FALSE
"552",FALSE
"553",FALSE
"554",FALSE
"555",FALSE
"556",FALSE
"557",FALSE
"558",FALSE
"559",FALSE
"560",FALSE
"561",FALSE
"562",FALSE
"563",FALSE
"564",FALSE
"565",FALSE
"566",FALSE
"567",FALSE
"568",FALSE
"569",FALSE
"570",FALSE
"571",FALSE
"572",FALSE
"573",FALSE
"574",FALSE
"575",FALSE
"576",FALSE
"577",FALSE
"578",FALSE
"579",FALSE
"580",FALSE
"581",FALSE
"582",TRUE
"583",TRUE
"584",FALSE
"585",FALSE
"586",FALSE
"587",FALSE
"588",FALSE
"589",TRUE
"590",TRUE
"591",FALSE
"592",FALSE
"593",FALSE
"594",FALSE
"595",FALSE
"596",FALSE
"597",FALSE
"598",FALSE
"599",FALSE
"600",FALSE
"601",FALSE
"602",FALSE
"603",FALSE
"604",FALSE
"605",FALSE
"606",FALSE
"607",FALSE
"608",FALSE
"609",FALSE
"610",FALSE
"611",FALSE
"612",FALSE
"613",FALSE
"614",FALSE
"615",FALSE
"616",FALSE
"617",FALSE
"618",TRUE
"619",FALSE
"620",FALSE
"621",FALSE
"622",FALSE
"623",FALSE
"624",FALSE
"625",FALSE
"626",FALSE
"627",FALSE
"628",FALSE
"629",FALSE
"630",FALSE
"631",FALSE
"632",FALSE
"633",FALSE
"634",FALSE
"635",FALSE
"636",FALSE
"637",FALSE
"638",FALSE
"639",FALSE
"640",FALSE
"641",FALSE
"642",FALSE
"643",FALSE
"644",FALSE
"645",FALSE
"646",FALSE
"647",FALSE
"648",FALSE
"649",FALSE
"650",TRUE
"651",FALSE
"652",FALSE
"653",FALSE
"654",FALSE
"655",FALSE
"656",FALSE
"657",FALSE
"658",TRUE
"659",FALSE
"660",FALSE
"661",TRUE
"662",FALSE
"663",FALSE
"664",FALSE
"665",FALSE
"666",FALSE
"667",FALSE
"668",FALSE
"669",FALSE
"670",FALSE
"671",FALSE
"672",FALSE
"673",FALSE
"674",FALSE
"675",FALSE
"676",FALSE
"677",TRUE
"678",FALSE
"679",FALSE
"680",FALSE
"681",FALSE
"682",FALSE
"683",FALSE
"684",FALSE
"685",FALSE
"686",FALSE
"687",FALSE
"688",FALSE
"689",FALSE
"690",FALSE
"691",FALSE
"692",FALSE
"693",FALSE
"694",FALSE
"695",FALSE
"696",FALSE
"697",FALSE
"698",FALSE
"699",FALSE
"700",FALSE
"701",FALSE
"702",FALSE
"703",FALSE
"704",FALSE
"705",FALSE
"706",FALSE
"707",FALSE
"708",TRUE
"709",FALSE
"710",FALSE
"711",FALSE
"712",FALSE
"713",FALSE
"714",FALSE
"715",FALSE
"716",FALSE
"717",FALSE
"718",FALSE
"719",FALSE
"720",FALSE
"721",FALSE
"722",FALSE
"723",FALSE
"724",FALSE
"725",FALSE
"726",FALSE
"727",FALSE
"728",FALSE
"729",TRUE
"730",TRUE
"731",FALSE
"732",FALSE
"733",TRUE
"734",FALSE
"735",FALSE
"736",FALSE
"737",FALSE
"738",FALSE
"739",FALSE
"740",FALSE
"741",FALSE
"742",FALSE
"743",FALSE
"744",FALSE
"745",FALSE
"746",FALSE
"747",FALSE
"748",FALSE
"749",TRUE
"750",FALSE
"751",FALSE
"752",FALSE
"753",FALSE
"754",FALSE
"755",FALSE
"756",FALSE
"757",FALSE
"758",FALSE
"759",FALSE
"760",FALSE
"761",FALSE
"762",FALSE
"763",TRUE
"764",FALSE
"765",FALSE
"766",FALSE
"767",FALSE
"768",FALSE
"769",FALSE
"770",FALSE
"771",FALSE
"772",TRUE
"773",FALSE
"774",FALSE
"775",FALSE
"776",FALSE
"777",FALSE
"778",FALSE
"779",TRUE
"780",FALSE
"781",FALSE
"782",FALSE
"783",FALSE
"784",FALSE
"785",FALSE
"786",FALSE
"787",TRUE
"788",FALSE
"789",FALSE
"790",FALSE
"791",TRUE
"792",FALSE
"793",FALSE
"794",FALSE
"795",FALSE
"796",TRUE
"797",FALSE
"798",FALSE
"799",FALSE
"800",FALSE
"801",FALSE
"802",FALSE
"803",FALSE
"804",FALSE
"805",FALSE
"806",FALSE
"807",FALSE
"808",FALSE
"809",FALSE
"810",TRUE
"811",FALSE
"812",FALSE
"813",FALSE
"814",TRUE
"815",FALSE
"816",FALSE
"817",FALSE
"818",FALSE
"819",FALSE
"820",TRUE
"821",FALSE
"822",FALSE
"823",FALSE
"824",FALSE
"825",FALSE
"826",FALSE
"827",FALSE
"828",TRUE
"829",FALSE
"830",FALSE
"831",TRUE
"832",FALSE
"833",FALSE
"834",FALSE
"835",FALSE
"836",FALSE
"837",TRUE
"838",TRUE
"839",FALSE
"840",FALSE
"841",FALSE
"842",FALSE
"843",FALSE
"844",FALSE
"845",FALSE
"846",FALSE
"847",FALSE
"848",FALSE
"849",FALSE
"850",FALSE
"851",TRUE
"852",FALSE
"853",FALSE
"854",FALSE
"855",TRUE
"856",FALSE
"857",FALSE
"858",FALSE
"859",FALSE
"860",TRUE
"861",FALSE
"862",FALSE
"863",FALSE
"864",FALSE
"865",FALSE
"866",FALSE
"867",FALSE
"868",FALSE
"869",FALSE
"870",FALSE
"871",FALSE
"872",FALSE
"873",FALSE
"874",FALSE
"875",FALSE
"876",FALSE
"877",FALSE
"878",FALSE
"879",FALSE
"880",FALSE
"881",FALSE
"882",FALSE
"883",FALSE
"884",FALSE
"885",FALSE
"886",FALSE
"887",FALSE
"888",FALSE
"889",FALSE
"890",FALSE
"891",FALSE
"892",TRUE
"893",FALSE
"894",TRUE
"895",TRUE
"896",FALSE
"897",FALSE
"898",FALSE
"899",TRUE
"900",FALSE
"901",FALSE
"902",TRUE
"903",FALSE
"904",FALSE
"905",FALSE
"906",FALSE
"907",FALSE
"908",FALSE
"909",FALSE
"910",FALSE
"911",FALSE
"912",FALSE
"913",FALSE
"914",FALSE
"915",FALSE
"916",TRUE
"917",FALSE
"918",TRUE
"919",FALSE
"920",FALSE
"921",FALSE
"922",FALSE
"923",FALSE
"924",TRUE
"925",FALSE
"926",FALSE
"927",FALSE
"928",FALSE
"929",FALSE
"930",TRUE
"931",FALSE
"932",FALSE
"933",FALSE
"934",FALSE
"935",FALSE
"936",FALSE
"937",FALSE
"938",FALSE
"939",FALSE
"940",FALSE
"941",FALSE
"942",TRUE
"943",FALSE
"944",FALSE
"945",FALSE
"946",FALSE
"947",FALSE
"948",FALSE
"949",FALSE
"950",FALSE
"951",FALSE
"952",FALSE
"953",FALSE
"954",FALSE
"955",FALSE
"956",FALSE
"957",FALSE
"958",FALSE
"959",FALSE
"960",FALSE
"961",FALSE
"962",FALSE
"963",FALSE
"964",TRUE
"965",FALSE
"966",FALSE
"967",TRUE
"968",FALSE
"969",FALSE
"970",TRUE
"971",FALSE
"972",FALSE
"973",FALSE
"974",FALSE
"975",FALSE
"976",FALSE
"977",FALSE
"978",FALSE
"979",FALSE
"980",FALSE
"981",TRUE
"982",FALSE
"983",FALSE
"984",TRUE
"985",FALSE
"986",FALSE
"987",FALSE
"988",FALSE
"989",FALSE
"990",FALSE
"991",FALSE
"992",FALSE
"993",TRUE
"994",FALSE
"995",TRUE
"996",FALSE
"997",FALSE
"998",FALSE
"999",FALSE
"1000",FALSE
"1001",FALSE
"1002",FALSE
"1003",FALSE
"1004",TRUE
"1005",FALSE
"1006",FALSE
"1007",FALSE
"1008",TRUE
"1009",FALSE
"1010",FALSE
"1011",FALSE
"1012",FALSE
"1013",FALSE
"1014",FALSE
"1015",FALSE
"1016",FALSE
"1017",FALSE
"1018",FALSE
"1019",FALSE
"1020",FALSE
"1021",FALSE
"1022",FALSE
"1023",FALSE
"1024",FALSE
"1025",FALSE
"1026",FALSE
"1027",FALSE
"1028",FALSE
"1029",FALSE
"1030",FALSE
"1031",FALSE
"1032",FALSE
"1033",FALSE
"1034",FALSE
"1035",FALSE
"1036",FALSE
"1037",TRUE
"1038",TRUE
"1039",FALSE
"1040",FALSE
"1041",FALSE
"1042",FALSE
"1043",FALSE
"1044",FALSE
"1045",TRUE
"1046",FALSE
"1047",FALSE
"1048",FALSE
"1049",FALSE
"1050",FALSE
"1051",FALSE
"1052",FALSE
"1053",FALSE
"1054",FALSE
"1055",FALSE
"1056",FALSE
"1057",FALSE
"1058",FALSE
"1059",TRUE
"1060",FALSE
"1061",FALSE
"1062",FALSE
"1063",TRUE
"1064",FALSE
"1065",FALSE
"1066",FALSE
"1067",FALSE
"1068",FALSE
"1069",FALSE
"1070",TRUE
"1071",FALSE
"1072",FALSE
"1073",FALSE
"1074",FALSE
"1075",FALSE
"1076",FALSE
"1077",FALSE
"1078",FALSE
"1079",FALSE
"1080",FALSE
"1081",FALSE
"1082",FALSE
"1083",FALSE
"1084",FALSE
"1085",FALSE
"1086",FALSE
"1087",FALSE
"1088",TRUE
"1089",FALSE
"1090",TRUE
"1091",TRUE
"1092",TRUE
"1093",FALSE
"1094",FALSE
"1095",FALSE
"1096",TRUE
"1097",TRUE
"1098",FALSE
"1099",FALSE
"1100",TRUE
"1101",FALSE
"1102",FALSE
"1103",FALSE
"1104",FALSE
"1105",FALSE
"1106",FALSE
"1107",FALSE
"1108",FALSE
"1109",FALSE
"1110",FALSE
"1111",FALSE
"1112",FALSE
"1113",FALSE
"1114",FALSE
"1115",TRUE
"1116",FALSE
"1117",FALSE
"1118",FALSE
"1119",FALSE
"1120",FALSE
"1121",FALSE
"1122",FALSE
"1123",FALSE
"1124",FALSE
"1125",FALSE
"1126",FALSE
"1127",FALSE
"1128",TRUE
"1129",FALSE
"1130",FALSE
"1131",FALSE
"1132",FALSE
"1133",FALSE
"1134",FALSE
"1135",FALSE
"1136",FALSE
"1137",FALSE
"1138",FALSE
"1139",FALSE
"1140",FALSE
"1141",TRUE
"1142",FALSE
"1143",FALSE
"1144",FALSE
"1145",FALSE
"1146",FALSE
"1147",FALSE
"1148",FALSE
"1149",FALSE
"1150",FALSE
"1151",TRUE
"1152",FALSE
"1153",TRUE
"1154",TRUE
"1155",FALSE
"1156",FALSE
"1157",FALSE
"1158",FALSE
"1159",TRUE
"1160",FALSE
"1161",FALSE
"1162",FALSE
"1163",TRUE
"1164",FALSE
"1165",FALSE
"1166",FALSE
"1167",FALSE
"1168",FALSE
"1169",FALSE
"1170",FALSE
"1171",FALSE
"1172",FALSE
"1173",FALSE
"1174",FALSE
"1175",FALSE
"1176",FALSE
"1177",FALSE
"1178",FALSE
"1179",FALSE
"1180",FALSE
"1181",FALSE
"1182",FALSE
"1183",TRUE
"1184",FALSE
"1185",FALSE
"1186",FALSE
"1187",FALSE
"1188",FALSE
"1189",TRUE
"1190",FALSE
"1191",FALSE
"1192",FALSE
"1193",FALSE
"1194",FALSE
"1195",TRUE
"1196",FALSE
"1197",FALSE
"1198",FALSE
"1199",FALSE
"1200",FALSE
"1201",FALSE
"1202",FALSE
"1203",FALSE
"1204",FALSE
"1205",TRUE
"1206",FALSE
"1207",FALSE
"1208",TRUE
"1209",FALSE
"1210",FALSE
"1211",TRUE
"1212",FALSE
"1213",FALSE
"1214",FALSE
"1215",FALSE
"1216",FALSE
"1217",FALSE
"1218",FALSE
"1219",FALSE
"1220",FALSE
"1221",FALSE
"1222",TRUE
"1223",FALSE
"1224",FALSE
"1225",FALSE
"1226",TRUE
"1227",FALSE
"1228",FALSE
"1229",FALSE
"1230",FALSE
"1231",TRUE
"1232",FALSE
"1233",FALSE
"1234",FALSE
"1235",TRUE
"1236",FALSE
"1237",FALSE
"1238",FALSE
"1239",TRUE
"1240",FALSE
"1241",FALSE
"1242",FALSE
"1243",FALSE
"1244",FALSE
"1245",FALSE
"1246",FALSE
"1247",FALSE
"1248",FALSE
"1249",FALSE
"1250",FALSE
"1251",FALSE
"1252",TRUE
"1253",FALSE
"1254",FALSE
"1255",TRUE
"1256",FALSE
"1257",FALSE
"1258",FALSE
"1259",TRUE
"1260",FALSE
"1261",FALSE
"1262",FALSE
"1263",FALSE
"1264",FALSE
"1265",TRUE
"1266",FALSE
"1267",FALSE
"1268",FALSE
"1269",FALSE
"1270",FALSE
"1271",TRUE
"1272",FALSE
"1273",TRUE
"1274",TRUE
"1275",TRUE
"1276",FALSE
"1277",FALSE
"1278",FALSE
"1279",TRUE
"1280",FALSE
"1281",FALSE
"1282",FALSE
"1283",TRUE
"1284",FALSE
"1285",FALSE
"1286",FALSE
"1287",FALSE
"1288",FALSE
"1289",FALSE
"1290",FALSE
"1291",FALSE
"1292",FALSE
"1293",FALSE
"1294",FALSE
"1295",FALSE
"1296",FALSE
"1297",FALSE
"1298",FALSE
"1299",FALSE
"1300",FALSE
"1301",FALSE
"1302",FALSE
"1303",FALSE
"1304",FALSE
"1305",FALSE
"1306",FALSE
"1307",FALSE
"1308",FALSE
"1309",FALSE
"1310",FALSE
"1311",FALSE
"1312",FALSE
"1313",FALSE
"1314",FALSE
"1315",TRUE
"1316",FALSE
"1317",FALSE
"1318",FALSE
"1319",FALSE
"1320",FALSE
"1321",FALSE
"1322",FALSE
"1323",FALSE
"1324",FALSE
"1325",FALSE
"1326",FALSE
"1327",FALSE
"1328",FALSE
"1329",TRUE
"1330",FALSE
"1331",FALSE
"1332",FALSE
"1333",FALSE
"1334",FALSE
"1335",FALSE
"1336",FALSE
"1337",FALSE
"1338",FALSE
"1339",FALSE
"1340",FALSE
"1341",FALSE
"1342",FALSE
"1343",FALSE
"1344",FALSE
"1345",FALSE
"1346",TRUE
"1347",FALSE
"1348",FALSE
"1349",FALSE
"1350",TRUE
"1351",FALSE
"1352",FALSE
"1353",FALSE
"1354",FALSE
"1355",FALSE
"1356",FALSE
"1357",FALSE
"1358",TRUE
"1359",FALSE
"1360",FALSE
"1361",FALSE
"1362",FALSE
"1363",TRUE
"1364",FALSE
"1365",FALSE
"1366",FALSE
"1367",FALSE
"1368",FALSE
"1369",FALSE
"1370",FALSE
"1371",FALSE
"1372",FALSE
"1373",FALSE
"1374",FALSE
"1375",FALSE
"1376",FALSE
"1377",FALSE
"1378",FALSE
"1379",FALSE
"1380",FALSE
"1381",TRUE
"1382",FALSE
"1383",FALSE
"1384",TRUE
"1385",FALSE
"1386",FALSE
"1387",FALSE
"1388",FALSE
"1389",FALSE
"1390",FALSE
"1391",FALSE
"1392",FALSE
"1393",TRUE
"1394",TRUE
"1395",FALSE
"1396",FALSE
"1397",FALSE
"1398",TRUE
"1399",FALSE
"1400",FALSE
"1401",FALSE
"1402",FALSE
"1403",FALSE
"1404",FALSE
"1405",FALSE
"1406",FALSE
"1407",FALSE
"1408",FALSE
"1409",FALSE
"1410",FALSE
"1411",FALSE
"1412",FALSE
"1413",TRUE
"1414",FALSE
"1415",FALSE
"1416",FALSE
"1417",TRUE
"1418",FALSE
"1419",FALSE
"1420",FALSE
"1421",FALSE
"1422",FALSE
"1423",FALSE
"1424",FALSE
"1425",FALSE
"1426",FALSE
"1427",FALSE
"1428",FALSE
"1429",FALSE
"1430",FALSE
"1431",FALSE
"1432",FALSE
"1433",FALSE
"1434",FALSE
"1435",TRUE
"1436",FALSE
"1437",FALSE
"1438",FALSE
"1439",FALSE
"1440",FALSE
"1441",FALSE
"1442",TRUE
"1443",FALSE
"1444",FALSE
"1445",FALSE
"1446",FALSE
"1447",TRUE
"1448",FALSE
"1449",FALSE
"1450",FALSE
"1451",FALSE
"1452",FALSE
"1453",FALSE
"1454",TRUE
"1455",FALSE
"1456",FALSE
"1457",FALSE
"1458",FALSE
"1459",TRUE
"1460",FALSE
"1461",FALSE
"1462",FALSE
"1463",FALSE
"1464",FALSE
"1465",FALSE
"1466",FALSE
"1467",FALSE
"1468",FALSE
"1469",FALSE
"1470",TRUE
"1471",TRUE
"1472",FALSE
"1473",TRUE
"1474",FALSE
"1475",FALSE
"1476",TRUE
"1477",FALSE
"1478",FALSE
"1479",TRUE
"1480",FALSE
"1481",TRUE
"1482",FALSE
"1483",FALSE
"1484",FALSE
"1485",FALSE
"1486",FALSE
"1487",FALSE
"1488",FALSE
"1489",FALSE
"1490",FALSE
"1491",FALSE
"1492",TRUE
"1493",FALSE
"1494",FALSE
"1495",FALSE
"1496",TRUE
"1497",FALSE
"1498",FALSE
"1499",FALSE
"1500",FALSE
"1501",FALSE
"1502",FALSE
"1503",FALSE
"1504",FALSE
"1505",TRUE
"1506",TRUE
"1507",FALSE
"1508",FALSE
"1509",FALSE
"1510",FALSE
"1511",FALSE
"1512",TRUE
"1513",TRUE
"1514",FALSE
"1515",TRUE
"1516",FALSE
"1517",FALSE
"1518",TRUE
"1519",FALSE
"1520",FALSE
"1521",TRUE
"1522",FALSE
"1523",FALSE
"1524",FALSE
"1525",FALSE
"1526",FALSE
"1527",FALSE
"1528",TRUE
"1529",TRUE
"1530",FALSE
"1531",FALSE
"1532",FALSE
"1533",FALSE
"1534",FALSE
"1535",FALSE
"1536",TRUE
"1537",TRUE
"1538",FALSE
"1539",FALSE
"1540",TRUE
"1541",FALSE
"1542",FALSE
"1543",FALSE
"1544",FALSE
"1545",FALSE
"1546",FALSE
"1547",FALSE
"1548",FALSE
"1549",TRUE
"1550",FALSE
"1551",TRUE
"1552",TRUE
"1553",FALSE
"1554",TRUE
"1555",FALSE
"1556",FALSE
"1557",FALSE
"1558",FALSE
"1559",FALSE
"1560",FALSE
"1561",FALSE
"1562",FALSE
"1563",FALSE
"1564",FALSE
"1565",FALSE
"1566",FALSE
"1567",FALSE
"1568",FALSE
"1569",FALSE
"1570",FALSE
"1571",FALSE
"1572",FALSE
"1573",TRUE
"1574",FALSE
"1575",FALSE
"1576",FALSE
"1577",TRUE
"1578",FALSE
"1579",FALSE
"1580",FALSE
"1581",FALSE
"1582",FALSE
"1583",FALSE
"1584",FALSE
"1585",FALSE
"1586",FALSE
"1587",FALSE
"1588",FALSE
"1589",FALSE
"1590",FALSE
"1591",TRUE
"1592",TRUE
"1593",FALSE
"1594",FALSE
"1595",FALSE
"1596",FALSE
"1597",FALSE
"1598",FALSE
"1599",FALSE
"1600",FALSE
"1601",FALSE
"1602",TRUE
"1603",FALSE
"1604",FALSE
"1605",TRUE
"1606",FALSE
"1607",FALSE
"1608",FALSE
"1609",TRUE
"1610",FALSE
"1611",FALSE
"1612",FALSE
"1613",FALSE
"1614",FALSE
"1615",FALSE
"1616",FALSE
"1617",FALSE
"1618",FALSE
"1619",FALSE
"1620",TRUE
"1621",TRUE
"1622",FALSE
"1623",FALSE
"1624",TRUE
"1625",FALSE
"1626",FALSE
"1627",FALSE
"1628",FALSE
"1629",TRUE
"1630",FALSE
"1631",FALSE
"1632",TRUE
"1633",FALSE
"1634",FALSE
"1635",FALSE
"1636",FALSE
"1637",TRUE
"1638",TRUE
"1639",FALSE
"1640",FALSE
"1641",FALSE
"1642",TRUE
"1643",FALSE
"1644",FALSE
"1645",TRUE
"1646",FALSE
"1647",FALSE
"1648",TRUE
"1649",TRUE
"1650",FALSE
"1651",FALSE
"1652",FALSE
"1653",FALSE
"1654",FALSE
"1655",FALSE
"1656",FALSE
"1657",FALSE
"1658",FALSE
"1659",FALSE
"1660",FALSE
"1661",FALSE
"1662",TRUE
"1663",FALSE
"1664",TRUE
"1665",FALSE
